Contig	ERR2185436	ERR2185437	ERR2185438	ERR2185439	ERR2185440	ERR2185441	ERR2185442	ERR2185443	ERR2185444	ERR2185445	ERR2185446	SRR23967288	SRR23967289	SRR23967290	SRR23967291	SRR23967292	SRR23967293	SRR23967294	SRR23967295	SRR23967296	SRR23967297	SRR23967298	SRR23967299	SRR23967300	SRR23967301	SRR23967302	SRR23967303	SRR23967304	SRR23967305
ERR2185444_RNODE_72_length_1157_cov_7.76180	24.2	14.26	0	39.93	12.45	30.77	0	57.56	100	100	50.39	0	77.01	53.67	60.24	18.32	0	93.26	24.2	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_73_length_2430_cov_6.95670	24.64	87.12	50.14	44.8	80.13	89.92	61.17	73.71	100	59.93	100	0	100	50.64	53.72	42.49	45.54	93.01	54.96	0	0	0	0	0	12.88	0	42.82	11.52	0
ERR2185444_RNODE_74_length_2611_cov_5.80511	17.58	84.87	84.91	51.05	96.94	79.78	66.91	51.93	100	91.46	100	0	100	72.77	40.67	68.98	57.6	87.36	64.19	0	0	9.15	0	0	11.76	0	40.33	10.72	0
ERR2185444_RNODE_75_length_8922_cov_4.32797	30.21	65.66	48.55	47.02	93.91	97.15	98.29	97.22	100	97.77	100	0	94.11	6.28	39.25	25.37	0	89.66	6.24	0	0	0	0	0	0	0	24.63	0	0
ERR2185444_RNODE_77_length_6705_cov_14.58117	0	18.91	9.53	0	28.13	52.99	44.25	78.91	100	62.36	80.45	0	10.45	0	16.58	0	0	18	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_78_length_2375_cov_3.49275	0	61.43	64.29	20.21	99.96	14.91	0	56.04	100	47.62	91.41	0	30.61	28	25.31	23.07	11.49	79.2	10.69	0	0	0	0	0	0	0	0	23.96	0
ERR2185444_RNODE_79_length_6797_cov_6.17515	0	0	7.12	17.54	21.54	27.45	0	40.34	100	36.1	37.5	0	58.54	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_7_length_4223_cov_31.82380	0	6.63	0	0	0	23.85	0	80.77	100	0	54.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_80_length_3026_cov_6.12921	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_81_length_2697_cov_1.79612	0	0	5.93	5.49	0	21.39	16.57	63.52	100	10.23	19.5	10.38	0	0	0	10.34	0	0	0	0	0	0	0	0	0	0	15.54	0	8.38
